What is 2 + 2?,3,4,5,6,2
What color is the sky?,Green,Red,Blue,Yellow,3
Which animal says Meow?,Dog,Cat,Cow,Pig,2
What is the capital of France?,Berlin,Madrid,Rome,Paris,4
How many legs does a spider have?,4,6,8,10,3
Which is a fruit?,Carrot,Apple,Potato,Broccoli,2
What is the opposite of Hot?,Cold,Warm,Fire,Sun,1
Which planet do we live on?,Mars,Earth,Venus,Saturn,2
How many days are in a week?,5,6,7,10,3
What do bees make?,Milk,Honey,Jam,Soup,2
Which color is a banana?,Red,Purple,Yellow,Blue,3
What is H2O?,Salt,Gold,Water,Air,3
Which is the fastest?,Snail,Turtle,Cheetah,Sloth,3
How many fingers on one hand?,4,5,6,10,2
What do you use to type?,Mouse,Screen,Keyboard,Speaker,3
Which is a vowel?,B,C,D,A,4
What comes after Monday?,Sunday,Tuesday,Wednesday,Friday,2
Which season is the hottest?,Winter,Spring,Summer,Autumn,3
What shape is a ball?,Square,Triangle,Round,Flat,3
Who is Batman's sidekick?,Joker,Robin,Superman,Flash,2
What do cows drink?,Milk,Water,Soda,Juice,2
Which number is even?,1,3,5,2,4
What is 10 - 5?,2,3,5,10,3
Which is a primary color?,Green,Orange,Red,Purple,3
What do fish do?,Fly,Walk,Swim,Run,3
Which is a search engine?,Google,Word,Excel,Paint,1
What do you wear on your feet?,Hat,Gloves,Shoes,Scarf,3
Which is a reptile?,Dog,Cat,Snake,Bird,3
What is the freezing point of water?,0C,100C,50C,20C,1
Which language is spoken in Spain?,English,French,Spanish,German,3
What is the largest animal?,Elephant,Blue Whale,Giraffe,Lion,2
Which tool cuts paper?,Hammer,Drill,Scissors,Saw,3
What do you use to call someone?,Calculator,Phone,Clock,Lamp,2
Which is a gas?,Ice,Water,Steam,Rock,3
What is 5 x 5?,10,20,25,30,3
Which month has 28 days?,May,June,July,February,4
What is the sun?,Planet,Star,Moon,Comet,2
Which is a vehicle?,House,Tree,Car,Road,3
What color is grass?,Blue,Red,Green,Pink,3
Which controls the computer?,CPU,RAM,Fan,Case,1
What is the first letter of the alphabet?,Z,B,A,M,3
Which is a solid?,Water,Air,Rock,Fire,3
How many wheels on a bike?,1,2,3,4,2
What do you use to see?,Ears,Nose,Eyes,Mouth,3
Which is a bird?,Penguin,Bat,Bee,Fly,1
What is 100 / 10?,5,10,20,50,2
Which is a continent?,USA,China,Africa,Brazil,3
What comes after 9?,8,10,11,7,2
Which is a metal?,Wood,Plastic,Iron,Glass,3
What do you sleep on?,Table,Chair,Bed,Desk,3
Which is a fast food?,Salad,Soup,Burger,Stew,3
What do you use to brush teeth?,Comb,Brush,Toothbrush,Spoon,3
Which is a liquid?,Ice,Steam,Water,Rock,3
What is 1 + 0?,0,1,10,11,2
Which is a direction?,Up,Down,North,Left,3
What do you read?,TV,Book,Radio,Music,2
Which is a flower?,Oak,Rose,Pine,Grass,2
What do you drink from?,Plate,Bowl,Cup,Fork,3
Which is a sport?,Sleeping,Eating,Soccer,Reading,3
What is the opposite of Big?,Large,Huge,Small,Giant,3
Which is a currency?,Dollar,Paper,Coin,Card,1
What do you use to write?,Stick,Pen,Finger,Stone,2
Which is a country?,London,Paris,Japan,Rome,3
What comes before Friday?,Wednesday,Thursday,Saturday,Sunday,2
Which is a dairy product?,Apple,Bread,Cheese,Meat,3
What is 3 x 3?,6,9,12,3,2
Which is a winter sport?,Surfing,Skiing,Tennis,Golf,2
What do you use to cut steak?,Spoon,Fork,Knife,Straw,3
Which is a pet?,Lion,Tiger,Dog,Bear,3
What is the color of a cloud?,Green,Blue,White,Red,3
Which is a vegetable?,Apple,Banana,Carrot,Grape,3
What do you use to surf the web?,Browser,Printer,Scanner,Speaker,1
Which is a hot drink?,Soda,Water,Coffee,Juice,3
What is 50 + 50?,50,100,150,200,2
Which is a musical instrument?,Hammer,Guitar,Drill,Saw,2
What do you use to take photos?,Phone,Radio,TV,Lamp,1
Which is a job?,Baby,Student,Doctor,Tourist,3
What is the opposite of Up?,Left,Right,Down,Over,3
Which is a planet?,Pluto,Sun,Moon,Mars,4
What do you use to unlock a door?,Hammer,Key,Saw,Drill,2
Which is a sour fruit?,Banana,Apple,Lemon,Grape,3
What is 8 / 2?,2,3,4,5,3
Which is a social media?,Excel,Word,Facebook,Paint,3
What do you wear in winter?,Shorts,T-shirt,Coat,Sandals,3
Which is a shape?,Blue,Red,Circle,Loud,3
What do you use to smell?,Eyes,Ears,Nose,Mouth,3
Which is a farm animal?,Lion,Tiger,Cow,Bear,3
What is 10 x 10?,10,100,1000,1,2
Which is a browser?,Word,Chrome,Excel,Paint,2
What do you use to listen to music?,Headphones,Mouse,Keyboard,Printer,1
Which is a sea creature?,Dog,Cat,Shark,Bird,3
What is the capital of the USA?,NY,LA,Washington,Miami,3
Which is a subject in school?,Lunch,Math,Recess,Nap,2
What do you use to pay?,Leaf,Stone,Money,Sand,3
Which is a video game?,Mario,Excel,Word,Paint,1
What is 7 + 3?,9,10,11,12,2
Which is a superhero?,Joker,Batman,Lex,Bane,2
What do you use to clean the floor?,Mop,Spoon,Fork,Knife,1
Which is a cold place?,Desert,Jungle,Antarctica,Beach,3
