What gives plants their green color?,Chlorophyll,Sugar,Roots,Bark,1
Which animal is the fastest on land?,Lion,Tiger,Cheetah,Horse,3
What is the largest mammal?,Elephant,Blue Whale,Giraffe,Rhino,2
How many legs does a spider have?,4,6,8,10,3
Which bird can fly backwards?,Eagle,Owl,Hummingbird,Parrot,3
What do bees collect from flowers?,Water,Nectar,Leaves,Dirt,2
Which animal sleeps standing up?,Cat,Dog,Horse,Mouse,3
What is the tallest tree in the world?,Oak,Pine,Redwood,Birch,3
Which planet has rings?,Mars,Venus,Saturn,Mercury,3
What is the hardest natural substance?,Gold,Iron,Diamond,Silver,3
Which animal has a long neck?,Lion,Giraffe,Bear,Wolf,2
What do pandas eat?,Meat,Fish,Bamboo,Fruit,3
Which insect makes honey?,Ant,Bee,Fly,Wasp,2
What is a baby cat called?,Puppy,Kitten,Cub,Calf,2
Which animal is known as the King of the Jungle?,Tiger,Lion,Bear,Wolf,2
What do caterpillars turn into?,Frogs,Birds,Butterflies,Snakes,3
Which animal has a trunk?,Rhino,Hippo,Elephant,Zebra,3
What is the largest ocean?,Atlantic,Indian,Pacific,Arctic,3
Which flower follows the sun?,Rose,Tulip,Sunflower,Lily,3
What do fish use to breathe?,Lungs,Nose,Gills,Mouth,3
Which animal can change color?,Dog,Chameleon,Cat,Bear,2
What is a group of lions called?,Pack,Herd,Pride,Flock,3
Which bird cannot fly?,Eagle,Sparrow,Penguin,Hawk,3
What is the fastest sea animal?,Shark,Whale,Sailfish,Dolphin,3
Which animal has a pouch?,Bear,Kangaroo,Lion,Wolf,2
What do cows produce?,Juice,Soda,Milk,Water,3
Which is the largest desert?,Sahara,Gobi,Antarctic,Arctic,3
What is a baby dog called?,Kitten,Puppy,Cub,Foal,2
Which animal has stripes?,Lion,Zebra,Bear,Wolf,2
What is the main source of light for Earth?,Moon,Sun,Stars,Fire,2
Which tree produces acorns?,Pine,Oak,Maple,Birch,2
What do squirrels eat?,Fish,Meat,Nuts,Insects,3
Which animal is the tallest?,Elephant,Giraffe,Horse,Camel,2
What is a shark's skeleton made of?,Bone,Cartilage,Muscle,Skin,2
Which bird is pink?,Crow,Flamingo,Dove,Hawk,2
What do frogs eat?,Grass,Insects,Fruit,Nuts,2
Which animal has a hump?,Horse,Camel,Dog,Cat,2
What is the largest bird?,Eagle,Ostrich,Owl,Parrot,2
Which animal creates pearls?,Clam,Fish,Crab,Shrimp,1
What is a baby horse called?,Calf,Foal,Pup,Kit,2
Which animal has the longest lifespan?,Dog,Cat,Tortoise,Mouse,3
What do spiders spin?,Wool,Silk,Cotton,Webs,4
Which animal barks?,Cat,Dog,Cow,Pig,2
What is a female lion called?,Lioness,Tiger,Cub,Mare,1
Which animal is a symbol of peace?,Eagle,Dove,Owl,Hawk,2
What do plants need to grow?,Candy,Sunlight,Soda,Oil,2
Which animal has tusks?,Dog,Cat,Walrus,Bear,3
What is the national bird of the USA?,Hawk,Eagle,Owl,Crow,2
Which animal lives in a hive?,Ant,Bee,Fly,Wasp,2
What is a baby cow called?,Foal,Calf,Pup,Kit,2
Which animal is slow?,Cheetah,Snail,Horse,Lion,2
What do birds use to fly?,Arms,Legs,Wings,Tail,3
Which animal has scales?,Dog,Fish,Cat,Bear,2
What is a male chicken called?,Hen,Rooster,Chick,Duck,2
Which animal eats wood?,Ant,Termite,Fly,Bee,2
What is the largest reptile?,Snake,Lizard,Crocodile,Turtle,3
Which animal has antlers?,Lion,Deer,Bear,Wolf,2
What do bats use to navigate?,Sight,Smell,Echolocation,Touch,3
Which animal produces wool?,Cow,Sheep,Pig,Goat,2
What is a baby sheep called?,Calf,Lamb,Pup,Foal,2
Which animal is a marsupial?,Lion,Bear,Koala,Wolf,3
What do snakes use to smell?,Nose,Ears,Tongue,Eyes,3
Which animal has a shell?,Dog,Turtle,Cat,Bear,2
What is the fastest bird?,Eagle,Falcon,Owl,Hawk,2
Which animal lives in a den?,Bird,Fish,Bear,Cow,3
What do wolves do at the moon?,Bark,Meow,Howl,Chirp,3
Which animal is black and white?,Lion,Panda,Bear,Wolf,2
What is a baby bear called?,Puppy,Kitten,Cub,Foal,3
Which animal has a mane?,Tiger,Lion,Bear,Wolf,2
What do rabbits eat?,Meat,Fish,Carrots,Insects,3
Which animal is aquatic?,Lion,Bear,Dolphin,Wolf,3
What is the largest land animal?,Elephant,Rhino,Hippo,Giraffe,1
Which animal has feathers?,Dog,Cat,Bird,Fish,3
What do owls do at night?,Sleep,Hunt,Swim,Run,2
Which animal is a primate?,Lion,Monkey,Bear,Wolf,2
What is a baby duck called?,Chick,Duckling,Pup,Cub,2
Which animal has spots?,Lion,Leopard,Bear,Wolf,2
What do mice like to eat?,Meat,Fish,Cheese,Insects,3
Which animal is nocturnal?,Eagle,Owl,Hawk,Crow,2
What is the smallest bird?,Eagle,Owl,Hummingbird,Hawk,3
Which animal lives in the ocean?,Lion,Whale,Bear,Wolf,2
What do ants live in?,Hive,Colony,Den,Nest,2
Which animal has a long trunk?,Lion,Elephant,Bear,Wolf,2
