What is 5 + 3?,7,8,9,10,2
What is 10 - 4?,5,6,7,8,2
What is 3 x 3?,6,9,12,15,2
What is 12 / 4?,2,3,4,6,2
What is 2 + 2?,3,4,5,6,2
What is 10 + 10?,10,15,20,25,3
What is 7 - 2?,4,5,6,7,2
What is 4 x 2?,6,7,8,9,3
What is 15 / 3?,3,4,5,6,3
What is 1 + 1?,1,2,3,4,2
What is 20 - 5?,10,12,15,18,3
What is 5 x 2?,5,10,15,20,2
What is 8 / 2?,2,3,4,5,3
What is 6 + 4?,8,9,10,11,3
What is 9 - 3?,5,6,7,8,2
What is 3 x 4?,10,11,12,13,3
What is 16 / 4?,2,3,4,5,3
What is 5 + 5?,8,9,10,11,3
What is 12 - 6?,4,5,6,7,3
What is 2 x 5?,8,9,10,12,3
What is 18 / 2?,8,9,10,11,2
What is 7 + 3?,9,10,11,12,2
What is 14 - 7?,6,7,8,9,2
What is 3 x 5?,12,13,14,15,4
What is 20 / 4?,4,5,6,7,2
What is 8 + 2?,9,10,11,12,2
What is 11 - 2?,8,9,10,11,2
What is 4 x 3?,10,11,12,14,3
What is 21 / 3?,6,7,8,9,2
What is 6 + 6?,10,11,12,13,3
What is 15 - 5?,9,10,11,12,2
What is 2 x 6?,10,11,12,14,3
What is 24 / 4?,4,5,6,7,3
What is 9 + 1?,9,10,11,12,2
What is 13 - 3?,9,10,11,12,2
What is 5 x 3?,12,14,15,18,3
What is 10 / 2?,4,5,6,8,2
What is 4 + 4?,7,8,9,10,2
What is 16 - 8?,6,7,8,9,3
What is 3 x 6?,16,17,18,20,3
What is 25 / 5?,4,5,6,7,2
What is 10 + 5?,12,14,15,16,3
What is 18 - 9?,7,8,9,10,3
What is 4 x 4?,14,15,16,18,3
What is 27 / 3?,7,8,9,10,3
What is 3 + 3?,5,6,7,8,2
What is 12 - 4?,6,7,8,9,3
What is 2 x 8?,14,15,16,18,3
What is 30 / 5?,5,6,7,8,2
What is 7 + 7?,12,13,14,15,3
What is 14 - 2?,10,11,12,13,3
What is 5 x 4?,15,18,20,22,3
What is 32 / 4?,6,7,8,9,3
What is 8 + 8?,14,15,16,17,3
What is 17 - 7?,9,10,11,12,2
What is 3 x 7?,18,19,20,21,4
What is 35 / 5?,6,7,8,9,2
What is 9 + 9?,16,17,18,19,3
What is 19 - 9?,9,10,11,12,2
What is 6 x 2?,10,11,12,14,3
What is 36 / 6?,4,5,6,7,3
What is 2 + 8?,9,10,11,12,2
What is 15 - 3?,11,12,13,14,2
What is 4 x 5?,15,18,20,22,3
What is 40 / 4?,8,9,10,12,3
What is 6 + 5?,10,11,12,13,2
What is 12 - 2?,8,9,10,12,3
What is 2 x 9?,16,17,18,20,3
What is 42 / 6?,6,7,8,9,2
What is 5 + 6?,10,11,12,13,2
What is 14 - 4?,8,9,10,12,3
What is 3 x 8?,22,23,24,26,3
What is 45 / 5?,8,9,10,11,2
What is 7 + 4?,10,11,12,13,2
What is 16 - 6?,9,10,11,12,2
What is 4 x 6?,22,23,24,26,3
What is 48 / 6?,6,7,8,9,3
What is 8 + 3?,10,11,12,13,2
What is 13 - 5?,7,8,9,10,2
What is 5 x 5?,20,22,25,30,3
What is 50 / 5?,8,9,10,12,3
What is 9 + 2?,10,11,12,13,2
What is 18 - 8?,9,10,11,12,2
What is 6 x 3?,16,17,18,20,3
What is 54 / 6?,8,9,10,11,2
What is 4 + 7?,10,11,12,13,2
What is 11 - 4?,6,7,8,9,2
What is 7 x 2?,12,13,14,16,3
What is 56 / 8?,6,7,8,9,2
What is 6 + 7?,11,12,13,14,3
What is 15 - 7?,7,8,9,10,2
What is 8 x 2?,14,15,16,18,3
What is 60 / 6?,8,9,10,12,3
What is 5 + 7?,10,11,12,13,3
What is 12 - 5?,6,7,8,9,2
What is 9 x 2?,16,17,18,20,3
What is 63 / 7?,8,9,10,11,2
What is 3 + 8?,10,11,12,13,2
What is 14 - 6?,6,7,8,9,3
